filename,category,alt,title,description,keywords,status
sleeping-newborn-crib.webp,family,"Newborn baby sleeping soundly, nestled comfortably in a cozy crib.",Sleeping Newborn,A newborn baby nestled comfortably in a cozy crib sleeps soundly — soft blankets and gentle lighting create a serene atmosphere of innocence.,"family, newborn, baby, intimate, close-up",done
sisters-cooking-together.webp,family,Five-year-old and two-year-old sisters playfully preparing food together in the kitchen.,Sisters Cooking,A five-year-old sister and her two-year-old sibling joyfully prepare food together — smiles highlighting the warmth of sibling bonding.,"family, sisters, daughter, kitchen, interior, playful",done
sisters-fox-costumes.webp,family,Two young sisters in fox costumes posing playfully in a studio.,Sisters in Fox Costumes,Two sisters dressed in cute fox costumes playfully pose in a studio — bright smiles and spirited expressions highlight creativity and joy.,"family, sisters, daughter, studio, playful, portrait",done
family-white-beach.webp,family,Family in matching white outfits standing together on the beach.,Family in White on the Beach,A family in elegant white outfits stands together on the beach by the ocean waves — joyful expressions create harmony and togetherness.,"family, beach, ocean, portrait, elegant",done
elegant-family-studio-portrait-black.webp,family,"Elegant family portrait against a black background, lit with artistic studio lighting.",Family on Black,A family poses beautifully against a black background under soft studio lighting — warm glow conveying unity and love.,"family, studio, portrait, elegant",done
husband-kissing-pregnant-wife.webp,maternity,"Husband tenderly kissing his pregnant wife, who wears a crown and lace dress.",Husband Kissing Pregnant Wife,"A husband tenderly kisses his pregnant wife, adorned with a crown and elegant lace dress — love and anticipation for parenthood.","maternity, pregnant, couple, dress, intimate, romantic",done
maternity-lace-dress-ocean.webp,maternity,Pregnant woman in an elegant lace dress posing by the ocean.,Maternity by the Ocean,A pregnant woman poses elegantly in a beautiful lace dress on the beach by the ocean — the beauty of motherhood and tranquility.,"maternity, pregnant, dress, ocean, beach, elegant",done
ocean-serenity-maternity.webp,maternity,Pregnant woman in a lace dress standing gracefully by the ocean shore.,Ocean Serenity,"Elegantly posed in a beautiful lace dress on the beach, a pregnant woman stands by the ocean waves — a peaceful moment of motherhood.","maternity, pregnant, dress, ocean, beach, elegant",done
couples-ocean-maternity.webp,maternity,Husband with his pregnant wife in a lace dress by the ocean.,Couple's Ocean Maternity,A husband stands beside his pregnant wife in a lace dress on the beach — joyful expressions highlighting shared love and anticipation.,"maternity, pregnant, couple, dress, ocean, beach, romantic",done
pregnant-friends-colorful-dresses.webp,maternity,Three pregnant women in colorful flowing dresses standing together on the beach.,Pregnant Friends in Color,"Three pregnant women in colorful, flowing gowns stand together on the beach, dresses billowing gracefully — motherhood and friendship.","maternity, pregnant, friends, dress, beach, ocean, playful",done
flowing-gown-maternity-sea.webp,maternity,Pregnant woman in a flowing gown with a train posing by the ocean.,Flowing Gown by the Sea,A pregnant woman poses gracefully on the beach in a beautiful gown with a flowing train — a dreamy effect against the vast ocean.,"maternity, pregnant, dress, ocean, beach, elegant",done
couple-ultrasound-ocean.webp,maternity,Couple holding an ultrasound image lovingly by the ocean.,Couple with Ultrasound,"Standing on the beach, a couple lovingly holds an ultrasound image — a moment symbolizing excitement and anticipation for parenthood.","maternity, pregnant, couple, ocean, beach, intimate",done
beach-maternity-togetherness.webp,maternity,Couple on the beach: pregnant woman cradling her baby bump beside her partner.,Beach Maternity Togetherness,"A young man and his pregnant partner stand hand-in-hand on the shore — she lovingly cradles her baby bump, sharing joy and anticipation.","maternity, pregnant, couple, ocean, beach, intimate, romantic",done
couples-beach-baby-bump-moment.webp,maternity,"Young couple on the sandy shore, pregnant woman holding her baby bump.",Couple's Baby Bump Moment,"Standing hand-in-hand on the sandy shore, a young couple shares warm smiles as the pregnant partner cradles her baby bump.","maternity, pregnant, couple, ocean, beach, intimate, romantic",done
studio-maternity-elegance.webp,maternity,Pregnant woman posing gracefully in a beautiful dress in a photo studio.,Studio Maternity,A pregnant woman poses gracefully in a gorgeous dress in a professional photo studio — soft lighting highlights her radiant glow.,"maternity, pregnant, dress, studio, elegant, portrait",done
elegant-studio-maternity-pose.webp,maternity,Pregnant woman posing elegantly in a flowing dress in a photo studio.,Elegant Studio Maternity,"In a photo studio, a pregnant woman poses elegantly in a gorgeous dress — an intimate moment showcasing the beauty of pregnancy.","maternity, pregnant, dress, studio, elegant, portrait",done
bw-maternity-portrait-husband.webp,maternity,Black and white portrait of a pregnant woman standing closely with her husband.,B&W Maternity with Husband,A touching black and white image of a pregnant woman resting her hand on her baby bump beside her husband — warmth and affection.,"maternity, pregnant, couple, black-and-white, intimate, romantic",done
home-cta-bg.webp,site,"A girl in a flowing dress walking on the beach, used as the homepage call-to-action background.",,,,done
contact-bg.webp,site,"Soft, atmospheric photo used as the contact page background and the site-wide social share image.",,,,done
about-bg.webp,site,Portrait used as the About page hero background.,,,,done
vero-photographing.webp,site,Photo of Veronika Gerzon photographing a client.,,,,done
vero-portrait.webp,site,"Portrait of Veronika Gerzon, the photographer behind Vero Photography.",,,,done
swimsuit-beach-peaceful-moment.webp,portraits,Young woman in a swimsuit lying on the sand by the ocean.,Peaceful Moment by the Sea,"A young woman in a swimsuit lies on soft sand as gentle ocean waves curl nearby, bathed in warm golden light.","portraits, woman, beach, ocean, swimsuit, golden-hour",done
family-on-red-armchair.webp,family,"Father, pregnant mother, and son sharing a red armchair in a softly lit interior.",Family on the Red Armchair,"A father, pregnant mother, and their son share a red armchair in a softly lit interior, three quiet figures wrapped in natural window light.","family, father, mother, son, pregnant, interior, natural-light, intimate",done
father-son-reading-armchairs.webp,family,Father and son in suits reading together in armchairs in an elegant interior.,Father and Son Reading,"A father and his son, both in elegant suits, sit in armchairs in a refined interior, reading together in companionable quiet.","family, father, son, interior, elegant, intimate",done
sisters-pregnant-embrace.webp,maternity,"Two sisters sitting close together; one lovingly embraces the other, who is pregnant.",Sisters' Embrace,"Two sisters sit close, one wrapping the other (who is pregnant) in a tender embrace, framed by soft warm light.","maternity, sisters, pregnant, intimate, natural-light",done
family-colorful-sweaters-studio.webp,family,"Mother, father, and son in matching colorful sweaters posing in a photo studio.",Family in Colorful Sweaters,"A mother, father, and son pose together in a studio in coordinated colorful sweaters, a warm, classic family portrait under soft light.","family, mother, father, son, studio, portrait, playful",done
family-sweaters-studio-portrait.webp,family,Family in matching colorful sweaters posing in a studio.,Family Studio Sweaters,"A family in matching colorful sweaters poses in a studio, a coordinated and joyful family portrait.","family, studio, portrait, playful",done
husband-hugging-pregnant-red-dress.webp,maternity,"Husband hugging his pregnant wife, who wears a red dress, in a soft-lit setting.",Maternity Embrace in Red,"A husband holds his pregnant wife, who wears a flowing red dress, in a tender embrace under soft light.","maternity, pregnant, couple, dress, intimate, romantic, elegant",done
toddler-girl-on-bed.webp,family,Smiling toddler girl sitting on a bed in natural light.,Toddler on the Bed,"A smiling toddler girl sits on a bed bathed in soft natural light, a quiet in-home lifestyle moment.","family, daughter, baby, interior, natural-light, playful",done
big-family-by-window.webp,family,Large family with young children posing together by a sunlit window.,Family by the Window,"A large family poses together by a sunlit window with their young children, easy and bright in natural light.","family, mother, father, daughter, son, interior, natural-light, playful",done
mother-toddler-couch-play.webp,family,Mother playing with her toddler daughter on a couch.,Mother and Daughter at Play,"A mother plays with her toddler daughter on the couch, laughter and natural connection in a cozy in-home setting.","family, mother, daughter, baby, interior, intimate, playful",done
mother-kissing-daughter-bed.webp,family,Mother kissing her daughter on a bed in a candid lifestyle moment.,A Kiss,"A mother kisses her daughter on a bed, a warm and candid moment of family love captured in natural light.","family, mother, daughter, interior, intimate, natural-light",done
mother-brushing-daughters-hair.webp,family,Mother brushing her daughter's hair on a bed in soft natural light.,Brushing Hair,"A mother gently brushes her daughter's hair on a bed, a quiet and tender ritual in soft natural light.","family, mother, daughter, interior, intimate, natural-light",done
woman-hat-poppy-field-chair.webp,portraits,"Elegant woman in a hat seated on a chair in a poppy field, smelling flowers.",Hat and Poppies,"An elegant woman in a wide-brimmed hat sits on a chair in the middle of a poppy field, leaning to smell the flowers around her.","portraits, woman, flowers, field, elegant, vintage",done
woman-poppy-petals-floating.webp,portraits,Elegant woman seated in a poppy field with petals drifting through the air around her.,Petals in the Air,"Seated in a poppy field, an elegant woman pauses to smell the flowers as delicate petals drift through the air around her.","portraits, woman, flowers, field, artistic, elegant",done
woman-poppy-field-peaceful.webp,portraits,"Graceful woman sitting in a chair in a blooming poppy field, smelling flowers.",Peaceful in the Poppies,"A graceful woman sits in a chair amid a blooming poppy field, lost in the simple pleasure of smelling the flowers around her.","portraits, woman, flowers, field, intimate, elegant",done
wedding-kiss-pink-sunset.webp,weddings,Bride and groom kissing beneath a pink sunset sky.,Pink Sunset Kiss,"A bride and groom share a kiss beneath a dreamy pink sunset sky, golden evening light wrapping around them.","weddings, bride, groom, sunset, golden-hour, romantic",done
pregnant-silhouette-bw.webp,maternity,Black and white silhouette of a pregnant woman.,Silhouette in Black and White,"A black and white silhouette of a pregnant woman, pared down to form, light, and the curve of her bump.","maternity, pregnant, black-and-white, artistic, portrait",done
groom-sofa-arms-stretched-bw.webp,weddings,Black and white portrait of a groom in a suit sitting on a sofa with arms stretched out.,Groom on the Sofa,"A black and white portrait of a groom in an elegant suit, arms stretched along the back of a sofa, confident and cinematic.","weddings, groom, black-and-white, interior, elegant, portrait, fashion",done
groom-sofa-cinematic-bw.webp,weddings,Sophisticated black and white portrait of a groom in a suit seated on a sofa.,Cinematic Groom,"A black and white portrait of a groom in an elegant suit, seated on a sofa, modern and quietly confident.","weddings, groom, black-and-white, interior, elegant, portrait, fashion",done
wedding-rings-bouquet-bw.webp,weddings,Black and white close-up of wedding rings resting on a bridal bouquet.,Rings on the Bouquet,"A black and white close-up of wedding rings nestled into a bridal bouquet, the day's small details brought into focus.","weddings, rings, bouquet, black-and-white, close-up",done
couple-kiss-crashing-waves.webp,portraits,Couple kissing by the ocean as waves crash against rocks behind them.,Kiss Among the Waves,"A couple kisses by the ocean as powerful waves crash against the rocks behind them, a dynamic and romantic coastal scene.","portraits, couple, ocean, romantic, intimate",done
bride-groom-ocean-mountains.webp,weddings,Bride and groom posing with an ocean and mountain backdrop.,Ocean and Mountains,"A bride and groom pose against a sweeping backdrop of ocean and mountains, soft coastal light catching their figures.","weddings, bride, groom, ocean, mountains, romantic, elegant",done
newlyweds-panoramic-ocean-mountains.webp,weddings,Newlyweds embracing with panoramic ocean and mountain views behind them.,Panoramic Embrace,"Newlyweds embrace as panoramic ocean and mountain views stretch out behind them, a moment shaped by the landscape itself.","weddings, newlyweds, ocean, mountains, romantic",done
outdoor-wedding-ceremony-scenic.webp,weddings,"Outdoor wedding ceremony with a scenic backdrop, surrounded by guests.",Ceremony with a View,"An outdoor wedding ceremony set against a scenic backdrop, elegant decor and the families and friends gathered to witness it.","weddings, bride, groom, friends, mountains, romantic, elegant",done
bridal-party-ceremony.webp,weddings,Bride and groom standing with their bridal party during the wedding ceremony.,Ceremony with the Bridal Party,"A bride and groom stand with their bridal party during the ceremony, elegant outfits and a celebration in motion.","weddings, bride, groom, friends, romantic, elegant",done
kiss-floral-arch-ceremony.webp,weddings,Newlyweds kissing beneath a floral wedding arch during their outdoor ceremony.,Kiss Under the Arch,A newlywed couple shares a kiss beneath a floral wedding arch during their outdoor ceremony.,"weddings, newlyweds, flowers, romantic",done
bride-groom-under-veil-smiles.webp,weddings,Bride and groom smiling beneath a delicate veil.,Beneath the Veil,"A bride and groom smile beneath a delicate veil, a joyful and intimate moment caught in soft wedding light.","weddings, bride, groom, veil, romantic, intimate, portrait",done
couple-back-camera-ocean-view.webp,weddings,"Bride and groom from behind, looking out at an ocean view.",Looking Out to Sea,"A bride and groom stand with their backs to the camera, taking in a sweeping ocean view, a quiet pause amid the day.","weddings, bride, groom, ocean, romantic, intimate",done
couple-kiss-ocean-view-behind.webp,weddings,"Bride and groom kissing while looking out at the ocean, photographed from behind.",A Kiss with a View,"Photographed from behind, a bride and groom share a kiss while overlooking the ocean.","weddings, bride, groom, ocean, romantic, intimate",done
bride-fitted-dress-ocean.webp,weddings,Bride in a fitted wedding dress posing against an ocean backdrop.,Bride by the Ocean,"A bride in a fitted wedding dress poses against an ocean backdrop, elegant lines under coastal light.","weddings, bride, dress, ocean, elegant, portrait",done
kiss-brick-tower.webp,weddings,Bride and groom kissing in front of a brick tower.,Kiss by the Brick Tower,"A bride and groom share a kiss in front of a beautiful brick tower, an elegant and timeless wedding portrait.","weddings, bride, groom, romantic, elegant, intimate",done
bride-groom-sofa-quiet-bw.webp,weddings,Black and white photo of a bride and groom sitting on a sofa before the reception.,Quiet Before the Reception,"A black and white photograph of a bride and groom on a sofa, sharing a quiet moment before the reception begins.","weddings, bride, groom, interior, black-and-white, intimate, portrait",done
wedding-party-seafoam.webp,weddings,Bride and groom with their wedding party in seafoam-colored attire.,Wedding Party in Seafoam,A bride and groom pose with their wedding party — bridesmaids and groomsmen in coordinated seafoam attire — for a stylish group portrait.,"weddings, bride, groom, friends, dress, elegant, portrait",done
couple-friends-jumping-celebration.webp,weddings,Bride and groom seated in front while their wedding party jumps in the background.,Friends in the Air,"Bride and groom sit in the foreground as their wedding party leaps joyfully behind them, fun and energy on the big day.","weddings, bride, groom, friends, playful",done
bridal-party-celebration-jump.webp,weddings,Bride and groom seated as their bridal party jumps in celebration behind them.,Bridal Party Celebration,A joyful portrait — the bride and groom seated in front as their bridal party celebrates and jumps in the background.,"weddings, bride, groom, friends, playful",done
wedding-party-sunset-group.webp,weddings,Newlyweds and friends posing together against a sunset backdrop.,Wedding Party at Sunset,Newlyweds and their friends gather for a relaxed group portrait against a sunset backdrop.,"weddings, newlyweds, friends, sunset, golden-hour, playful",done
groom-toss-celebration.webp,weddings,Groom being tossed into the air by his friends during the wedding celebration.,Groom in the Air,A lively moment — the groom is tossed into the air by his friends in the middle of the celebration.,"weddings, groom, friends, playful",done
wedding-reception-celebration.webp,weddings,Newlyweds celebrating with their friends at the wedding reception.,Reception Celebration,"Newlyweds celebrate with their friends at the reception, vibrant and full of party energy.","weddings, newlyweds, friends, night, playful",done
bride-tossing-ring.webp,weddings,"Bride tossing her wedding ring into the air, mid-flight between her hands.",Ring in the Air,"A creative shot — the bride tosses her wedding ring into the air, caught mid-flight between her hands.","weddings, bride, rings, close-up, artistic, playful",done
bride-groom-embrace-veil-bw.webp,weddings,Black and white portrait of a bride and groom embracing beneath a veil.,Embrace Beneath the Veil,"A soft black and white portrait of a bride and groom embracing beneath a delicate veil, tender and unhurried.","weddings, bride, groom, veil, black-and-white, intimate, romantic",done
sparkler-tunnel-exit.webp,weddings,Bride and groom walking through a tunnel of guests holding lit sparklers.,Sparkler Tunnel,"Bride and groom walk through a tunnel of guests holding sparklers, a magical and celebratory moment toward the end of the night.","weddings, bride, groom, friends, night, playful, romantic",done
couple-ocean-waves-splashing.webp,portraits,Couple standing by the ocean as waves splash around them.,Splash,"A couple stands by the ocean as waves splash around them, a dreamy and emotional coastal moment.","portraits, couple, ocean, beach, romantic, playful",done
couple-passionate-kiss-ocean.webp,portraits,Couple sharing a passionate kiss by the ocean in soft natural light.,Kiss by the Ocean,"A couple shares a kiss by the ocean, peaceful waves behind them and soft natural light catching the moment.","portraits, couple, ocean, beach, natural-light, romantic, intimate",done
newlyweds-embrace-blue-sky.webp,weddings,Newlyweds embracing by the sea under a clear blue sky.,Embrace by the Sea,"Newlyweds embrace by the sea beneath a bright blue sky, coastal scenery stretching behind them.","weddings, newlyweds, ocean, beach, romantic",done
magnolia-pink-sweater.webp,portraits,Young woman in a pink sweater gently smelling a blooming magnolia branch.,Magnolia in Bloom,"A young woman in a soft pink sweater leans into a blooming magnolia branch, a delicate springtime portrait.","portraits, woman, flowers, intimate, natural-light",done
studio-maternity-embrace.webp,maternity,Studio portrait of a husband gently embracing his pregnant wife.,Studio Embrace,"A studio portrait of a husband gently embracing his pregnant wife, captured under soft, warm light.","maternity, pregnant, couple, studio, intimate, romantic, portrait",done
freckled-portrait-detail.webp,portraits,Detailed close-up portrait of a freckled woman in professional lighting.,Freckles,"A close-up portrait of a freckled woman, professional lighting tracing the natural texture and softness of her features.","portraits, woman, close-up, studio, portrait, intimate",done
pregnant-fitted-black-dress-bw.webp,maternity,Black and white portrait of a pregnant woman in a fitted black dress.,"Black Dress, Black and White","A black and white portrait of a pregnant woman in a fitted black dress, dramatic lighting tracing the silhouette of her bump.","maternity, pregnant, dress, black-and-white, studio, elegant, portrait",done
pregnant-family-three-bw.webp,family,"Black and white family photo of a pregnant mother, father, and their young son.",Family of Three (Almost Four),"A black and white family portrait of a pregnant mother, her husband, and their two-year-old son, a tender pause before the family grows.","family, mother, father, son, pregnant, black-and-white, intimate",done
studio-pregnant-embrace-modern.webp,family,Studio portrait of a husband embracing his pregnant wife with elegant lighting.,Modern Maternity Embrace,"A husband embraces his pregnant wife in a studio, modern and sophisticated lighting shaping a confident, contemporary portrait.","family, pregnant, couple, studio, elegant, portrait, fashion",done
studio-maternity-refined.webp,maternity,Studio maternity photo of a husband gently holding his pregnant wife.,Refined Maternity Studio,"A husband gently holds his pregnant wife in a refined studio setting, a quiet, elegant maternity portrait.","maternity, pregnant, couple, studio, elegant, intimate, portrait",done
lotus-bridge-string-lights-night.webp,portraits,"Young woman on a wooden bridge in a lotus field, wrapped in glowing string lights at night.",String Lights on the Bridge,"A young woman sits on a wooden bridge in a lotus field, wrapped in glowing string lights beneath the dark evening sky.","portraits, woman, lotus, field, night, artistic",done
mother-holding-baby-home.webp,family,Young mother holding her baby in her arms in an in-home portrait.,Mother and Baby at Home,"A young mother holds her baby in her arms, a warm in-home portrait that captures the quiet of new family life.","family, mother, baby, newborn, interior, intimate, natural-light",done
pregnant-burgundy-dress-embrace.webp,maternity,Pregnant woman in a burgundy dress embracing her husband.,Burgundy Maternity,"A pregnant wife in a burgundy dress embraces her husband, the curve of her bump softly highlighted in warm light.","maternity, pregnant, couple, dress, intimate, romantic, elegant",done
couple-kiss-deep-blue-ocean.webp,portraits,Couple kissing by the ocean amid deep blue tones and crashing waves.,Kiss in Deep Blue,"A couple kisses by the ocean, deep blue tones and crashing waves carrying movement through the frame.","portraits, couple, ocean, romantic, intimate, artistic",done
bridesmaids-floating-pool.webp,portraits,Group of bridesmaids floating together in a swimming pool.,Bridesmaids in the Pool,"Bridesmaids float together in a swimming pool, a vibrant and easy moment from a pre-wedding bachelorette celebration.","portraits, friends, pool, swimsuit, playful",done
bride-bridesmaids-pool.webp,portraits,Bride and her bridesmaids relaxing in a swimming pool.,Bachelorette in the Pool,"A bride and her bridesmaids relax in a pool, a cheerful, easy moment from a bachelorette celebration.","portraits, bride, friends, pool, swimsuit, playful",done
profile-red-truck-tulips.webp,portraits,Profile portrait of a woman in a cowboy hat sitting on the hood of a vintage red truck in a tulip field.,Profile on the Red Truck,"A profile portrait — a woman in a denim jacket and cowboy hat sits on the hood of a vintage red truck, tulips in the foreground.","portraits, woman, cowboy-hat, dress, flowers, tulips, field, vintage",done
mid-jump-tulip-rows.webp,portraits,Woman in a cowboy hat mid-jump down a path between red and yellow tulips.,Mid-Jump Between Tulip Rows,"A woman in a cowboy hat and floral mini dress leaps down a path lined by red tulips on one side and yellow on the other, a small bouquet in her hand.","portraits, woman, cowboy-hat, dress, flowers, tulips, field, playful",done
couple-kiss-tulip-field.webp,portraits,Couple kissing while seated in the middle of a blooming tulip field.,Kiss Among the Tulips,"A couple shares a kiss seated low in a tulip field, surrounded by red, pink, and yellow blooms, soft countryside light behind them.","portraits, couple, flowers, tulips, field, intimate, romantic",done
tulip-field-windmill-twirl.webp,portraits,Woman in a floral dress turning gracefully in front of a wooden windmill and tulip rows.,Twirl by the Windmill,"A woman in a floral dress turns gracefully in front of a wooden windmill, tulip rows fanning out behind her.","portraits, woman, dress, flowers, tulips, field, playful",done
cowboy-hat-tulip-close-up.webp,portraits,Close-up portrait of a woman in a white cowboy hat and floral dress amid colorful tulips.,Cowboy Hat in the Tulips,"A close-up of a woman in a white cowboy hat and floral dress, gaze lifted as a tulip field stretches around her.","portraits, woman, cowboy-hat, dress, flowers, tulips, field, close-up",done
kneeling-tulip-bouquet.webp,portraits,Woman in a denim jacket and cowboy hat kneeling in a tulip field with a small bouquet.,Kneeling with Tulips,"A woman in a denim jacket and cowboy hat kneels in a tulip field, holding a small bouquet of fresh-picked tulips.","portraits, woman, cowboy-hat, dress, flowers, tulips, field",done
walking-tulip-path-bouquet.webp,portraits,Woman in a cowboy hat walking down a path between red and yellow tulip rows with a small bouquet.,Path Between the Tulips,"A woman in a cowboy hat and floral dress walks down a path between rows of red and yellow tulips, a small bouquet in her hand.","portraits, woman, cowboy-hat, dress, flowers, tulips, field, playful",done
tulip-field-hat-in-hand.webp,portraits,Woman in a floral dress holding a white cowboy hat and a small bouquet in a tulip field.,"Hat in Hand, Tulips Behind","A woman in a floral dress stands in a tulip field, white cowboy hat and a small bouquet in her hand, blonde hair caught in the breeze.","portraits, woman, dress, flowers, tulips, field, playful",done
cowboy-hat-red-truck-tulips.webp,portraits,Woman in a cowboy hat and floral dress sitting on the hood of a vintage red truck in a tulip field.,Cowboy Hat on a Red Truck,"A woman in a denim jacket, floral dress, and cowboy hat sits on the hood of a vintage red truck, framed by rows of tulips in soft countryside light.","portraits, woman, cowboy-hat, dress, flowers, tulips, field, vintage",done
gentleman-wall-reflection.webp,portraits,"Older man in a striped shirt leaning against a stone wall, arms crossed, with his reflection in the glass beside him.",Reflection at the Wall,"An older man in a striped shirt leans against a textured stone wall, arms crossed, his reflection mirrored in the glass beside him.","portraits, man, portrait, intimate, artistic, natural-light",done
gentleman-pool-ball-toss.webp,portraits,Older man in a striped shirt tossing a cue ball in a dimly lit pool room.,A Toss at the Pool Table,"An older man in a striped shirt smiles as he tosses a cue ball mid-air, a billiard table and cues catching the warm light of the room behind him.","portraits, man, interior, billiards, playful, portrait, intimate",done
gentleman-red-wine-desk.webp,portraits,Older man in a blazer smiling while holding a glass of red wine at a wooden desk.,A Glass of Red,"An older gentleman in a checkered blazer rests at a polished wooden desk, holding a glass of red wine, the warm interior softly lit behind him.","portraits, man, interior, wine, intimate, portrait, elegant",done
